strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url	MuV_genotype
Massachusetts.USA/15.16/1/G	mumps	MF965214	2016-04-12	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965214	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
NewHampshire.USA/8.16/1/G	mumps	MG986434	2016-02-25	North America	Usa	New Hampshire	New Hampshire	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986434	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/7.17/FH15/G	mumps	Fred_Hutch_seq_15	2017-02-15	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
02-49	mumps	AB618040	?	Japan Korea	Japan	Japan	Japan	genbank	genome	Kidokoro et al	https://www.ncbi.nlm.nih.gov/nuccore/AB618040	Characterization of mumps viruses circulating in mongolia: identification of a novel cluster of genotype h	J. Clin. Microbiol. 49 (5), 1917-1925 (2011)	https://www.ncbi.nlm.nih.gov/pubmed/21411578	?
Massachusetts.USA/25.17/4/G	mumps	MG986462	2017-06-21	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986462	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/5.17/FH10/G	mumps	Fred_Hutch_seq_10	2017-02-04	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Pune.IND/07.12/G	mumps	KF738114	2012-02-14	South Asia	India	India	India	genbank	genome	Vaidya et al	https://www.ncbi.nlm.nih.gov/nuccore/KF738114	Complete genome sequence of mumps wild type strains isolated from India	Unpublished	?	G
Davangere.IND/01.14/C	mumps	KX953297	2014-02-02	South Asia	India	India	India	genbank	genome	Vaidya et al	https://www.ncbi.nlm.nih.gov/nuccore/KX953297	Complete Genome Sequence of Mumps Virus Isolated from Karnataka State, India	Unpublished	?	C
Massachusetts.USA/50.16/1/G	mumps	MF965198	2016-12-14	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965198	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Ontario.CAN/13.17/1/G	mumps	Ontario_outbreak_17	2017-03-30	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	G
NewYork.USA/10.14/2/G	mumps	Broad_sequence_52	2014-03-03	North America	Usa	New York	New York	broad	genome	Wohl et al	?	Unpublished	?	?	G
Kushinagar.IND/36.13/C	mumps	KM385447	2013-09-07	South Asia	India	India	India	genbank	genome	Vaidya et al	https://www.ncbi.nlm.nih.gov/nuccore/KM385447	Complete genome sequence of Mumps wild type strains isolated from India	Unpublished	?	C
Wisconsin.USA/19.17/FH141/G	mumps	Fred_Hutch_seq_141	2017-05-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/17.16/13/G	mumps	MF965246	2016-05-02	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965246	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/16.16/6/G	mumps	MF965279	2016-04-20	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965279	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
L3/Russia/Vector	mumps	AY508995	?	West Asia	Russia	Russia	Russia	genbank	genome	Neverov et al	https://www.ncbi.nlm.nih.gov/nuccore/AY508995	Complete nucleotide sequence of L3 live mumps vaccine strain and its comparison with other vaccine and virulent strains sequences	Unpublished	?	?
Wisconsin.USA/29.14/FH113/G	mumps	Fred_Hutch_seq_113	2014-07-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/3.17/FH59/G	mumps	Fred_Hutch_seq_59	2017-01-18	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/50.16/FH3/G	mumps	Fred_Hutch_seq_3	2016-12-12	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/16.16/17/G	mumps	MF965263	2016-04-24	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965263	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
31170197	mumps	LC325486	2017-XX-XX	Japan Korea	Japan	Japan	Japan	genbank	genome	Hasegawa et al	https://www.ncbi.nlm.nih.gov/nuccore/LC325486	Detection of Mumps rubulavirus Tokyo, Japan	Unpublished	?	?
Washington.USA/4.17/FH68/G	mumps	Fred_Hutch_seq_68	2017-01-26	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/25.17/7/G	mumps	MG986447	2017-06-23	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986447	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
unnamed	mumps	AF314559	?	?	?	?	?	genbank	genome	Amexis et al	https://www.ncbi.nlm.nih.gov/nuccore/AF314559	Correlation of genetic variability with safety of mumps vaccine Urabe AM9 strain	Virology 287 (1), 234-241 (2001)	https://www.ncbi.nlm.nih.gov/pubmed/11504558	?
Alabama.USA/19.17/FH92/G	mumps	Fred_Hutch_seq_92	2017-05-XX	North America	Usa	Alabama	Alabama	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/16.16/16/G	mumps	MF965206	2016-04-23	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965206	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Zagreb.HRV/28.12/G	mumps	KF481689	2012-07-15	Europe	Croatia	Croatia	Croatia	genbank	genome	Santak et al	https://www.ncbi.nlm.nih.gov/nuccore/KF481689	Accumulation of defective interfering viral particles in only a few passages in Vero cells attenuates mumps virus neurovirulence	Microbes Infect. 17 (3), 228-236 (2015)	https://www.ncbi.nlm.nih.gov/pubmed/25479555	G
Rockhampton.AUS/41.16/G	mumps	MH638234	2016-XX-XX	Oceania	Australia	Australia	Australia	genbank	genome	Huang et al	https://www.ncbi.nlm.nih.gov/nuccore/MH638234	Illumina sequencing of clinical samples for virus detection in a public health laboratory: a feasibility study	Unpublished	?	G
Kansas.USA/10.17/G	mumps	MG986429	2017-03-10	North America	Usa	Kansas	Kansas	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986429	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/50.16/FH33/G	mumps	Fred_Hutch_seq_33	2016-12-19	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/19.17/FH80/G	mumps	Fred_Hutch_seq_80	2017-05-11	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Ohio.USA/13.14/6/G	mumps	MG986455	2014-03-26	North America	Usa	Ohio	Ohio	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986455	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/8.17/FH19/G	mumps	Fred_Hutch_seq_19	2017-02-28	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
BritishColumbia.CAN/18.16/2/G	mumps	BCCDC52	2016-05-07	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Ontario.CAN/09.17/1/G	mumps	Ontario_outbreak_19	2017-02-28	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	G
BritishColumbia.CAN/18.16/4/G	mumps	BCCDC31	2016-05-08	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Ohio.USA/12.14/9/G	mumps	MG986409	2014-03-21	North America	Usa	Ohio	Ohio	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986409	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/1.17/FH29/G	mumps	Fred_Hutch_seq_29	2017-01-10	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Arkansas.USA/50.16/G	mumps	MK585609	2016-12-10	North America	Usa	Arkansas	Arkansas	genbank	genome	Alkam et al	https://www.ncbi.nlm.nih.gov/nuccore/MK585609	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	?	G
Fukuoka.JPN/41.00/L	mumps	KF878081	2000-10-14	Japan Korea	Japan	Fukuoka	Fukuoka	genbank	genome	Jin et al	https://www.ncbi.nlm.nih.gov/nuccore/KF878081	Genomic diversity of mumps virus and global distribution of the 12 genotypes	Rev. Med. Virol. (2014) In press	https://www.ncbi.nlm.nih.gov/pubmed/25424978	L
BritishColumbia.CAN/14.11/2/G	mumps	BCCDC26	2011-04-03	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Ontario.CAN/12.17/1/G	mumps	Ontario_outbreak_12	2017-03-20	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	G
Virginia.USA/10.12/H	mumps	KY969483	2012-03-11	North America	Usa	Virginia	Virginia	genbank	genome	Elena et al	https://www.ncbi.nlm.nih.gov/nuccore/KY969483	Direct Submission	Submitted (20-APR-2017) Measles, Mumps, Rubella and Herpesvirus Laboratory Branch, Centers for Disease Control and Prevention, 1600 Clifton Road NE, Atlanta, GA 30329, USA	?	H
Arkansas.USA/48.16/G	mumps	MK585575	2016-11-21	North America	Usa	Arkansas	Arkansas	genbank	genome	Alkam et al	https://www.ncbi.nlm.nih.gov/nuccore/MK585575	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	?	G
Pune.IND/00.86/G	mumps	KF738113	1986-XX-XX	South Asia	India	India	India	genbank	genome	Vaidya et al	https://www.ncbi.nlm.nih.gov/nuccore/KF738113	Complete genome sequence of mumps wild type strains isolated from India	Unpublished	?	G
Urabe	mumps	FJ375177	1996-09-XX	North America	Canada	Canada	Canada	genbank	genome	Shah et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ375177	Identification of genetic mutations associated with attenuation and changes in tropism of Urabe mumps virus	J. Med. Virol. 81 (1), 130-138 (2009)	https://www.ncbi.nlm.nih.gov/pubmed/19031463	?
Osmanabad.IND/10.12/17/C	mumps	KF843894	2012-03-11	South Asia	India	India	India	genbank	genome	Vaidya et al	https://www.ncbi.nlm.nih.gov/nuccore/KF843894	Complete genome sequence of Mumps wild type strains isolated from India	Unpublished	?	C
Massachusetts.USA/16.16/1/G	mumps	MF965241	2016-04-19	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965241	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/5.17/FH161/G	mumps	Fred_Hutch_seq_161	2017-01-31	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Illinois.USA/26.15/2/G	mumps	MG986460	2015-06-24	North America	Usa	Illinois	Illinois	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986460	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/30.17/FH32/G	mumps	Fred_Hutch_seq_32	2017-07-25	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Arkansas.USA/13.17/G	mumps	MK585574	2017-03-26	North America	Usa	Arkansas	Arkansas	genbank	genome	Alkam et al	https://www.ncbi.nlm.nih.gov/nuccore/MK585574	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	?	G
Arkansas.USA/5.17/G	mumps	MK585617	2017-02-02	North America	Usa	Arkansas	Arkansas	genbank	genome	Alkam et al	https://www.ncbi.nlm.nih.gov/nuccore/MK585617	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	?	G
Washington.USA/9.17/FH18/G	mumps	Fred_Hutch_seq_18	2017-03-01	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
NK-M46.JPN/0.70_B___Vac_	mumps	AB827968	?	Japan Korea	Japan	Japan	Japan	genbank	genome	Saika et al	https://www.ncbi.nlm.nih.gov/nuccore/AB827968	Neurovirulence of mumps virus: intraspinal inoculation test in marmosets	Biologicals 32 (3), 147-152 (2004)	https://www.ncbi.nlm.nih.gov/pubmed/15536045	?
Jeryl_Lynn	mumps	AF345290	?	China	China	China	China	genbank	genome	Amexis et al	https://www.ncbi.nlm.nih.gov/nuccore/AF345290	Sequence diversity of Jeryl Lynn strain of mumps virus: quantitative mutant analysis for vaccine quality control	Virology 300 (2), 171-179 (2002)	https://www.ncbi.nlm.nih.gov/pubmed/12350348	?
Texas.USA/18.17/G	mumps	MG986457	2017-05-05	North America	Usa	Texas	Texas	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986457	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/25.16/3/G	mumps	BCCDC102	2016-06-20	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Massachusetts.USA/17.16/12/G	mumps	MF965272	2016-05-02	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965272	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Ohio.USA/7.17/FH130/G	mumps	Fred_Hutch_seq_130	2017-02-XX	North America	Usa	Ohio	Ohio	fh	genome	Moncla et al	?	Unpublished	?	?	G
Missouri.USA/15.17/FH138/G	mumps	Fred_Hutch_seq_138	2017-04-XX	North America	Usa	Missouri	Missouri	fh	genome	Moncla et al	?	Unpublished	?	?	G
BritishColumbia.CAN/18.16/3/G	mumps	BCCDC81	2016-05-09	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Wisconsin.USA/51.15/FH163/G	mumps	Fred_Hutch_seq_163	2015-12-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/25.17/2/G	mumps	MG986431	2017-06-20	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986431	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
S79-vaccine	mumps	MH426702	?	China	China	China	China	genbank	genome	Wang et al	https://www.ncbi.nlm.nih.gov/nuccore/MH426702	Rescue of a Chinese mumps virus vaccine strain S79	Unpublished	?	?
Washington.USA/12.17/FH34/G	mumps	Fred_Hutch_seq_34	2017-03-22	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Ohio.USA/16.14/2/G	mumps	MG986390	2014-04-15	North America	Usa	Ohio	Ohio	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986390	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/1.17/FH8/G	mumps	Fred_Hutch_seq_8	2017-01-05	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/10.17/2/G	mumps	MG986438	2017-03-09	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986438	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Ontario.CAN/06.17/4/G	mumps	Ontario_outbreak_9	2017-02-06	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	G
Missouri.USA/19.17/FH140/G	mumps	Fred_Hutch_seq_140	2017-05-XX	North America	Usa	Missouri	Missouri	fh	genome	Moncla et al	?	Unpublished	?	?	G
Georgia.USA/2.17/G	mumps	MG986466	2017-01-12	North America	Usa	Georgia	Georgia	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986466	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Ohio.USA/11.17/FH132/G	mumps	Fred_Hutch_seq_132	2017-03-XX	North America	Usa	Ohio	Ohio	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/49.16/FH158/G	mumps	Fred_Hutch_seq_158	2016-12-11	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
NorthDakota.USA/14.17/G	mumps	MG986417	2017-04-07	North America	Usa	North Dakota	North Dakota	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986417	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/19.16/3/G	mumps	MF965303	2016-05-09	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965303	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/37.15/1/G	mumps	MF965262	2015-09-15	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965262	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/8.17/G	mumps	MG986388	2017-02-19	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986388	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/3.17/FH24/G	mumps	Fred_Hutch_seq_24	2017-01-19	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/2.17/FH54/G	mumps	Fred_Hutch_seq_54	2017-01-12	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
87_1004	mumps	AF314560	?	?	?	?	?	genbank	genome	Amexis et al	https://www.ncbi.nlm.nih.gov/nuccore/AF314560	Correlation of genetic variability with safety of mumps vaccine Urabe AM9 strain	Virology 287 (1), 234-241 (2001)	https://www.ncbi.nlm.nih.gov/pubmed/11504558	?
Urabe_AM-9-B	mumps	AB000387	?	?	?	?	?	genbank	genome	Mori et al	https://www.ncbi.nlm.nih.gov/nuccore/AB000387	Complete Nucleotide Sequence of the Mumps Virus Urabe Vaccine Strain Genomic cDNA	Rinsho To Uirusu 23, 341-352 (1995)	?	?
Washington.USA/5.17/FH11/G	mumps	Fred_Hutch_seq_11	2017-02-08	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Ontario.CAN/09.17/5/C	mumps	Ontario_outbreak_2	2017-02-27	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	C
Miyahara	mumps	AB040874	?	?	?	?	?	genbank	genome	Okazaki et al	https://www.ncbi.nlm.nih.gov/nuccore/AB040874	Molecular cloning and sequence analysis of the mumps virus gene encoding the L protein and the trailer sequence	Virology 188 (2), 926-930 (1992)	https://www.ncbi.nlm.nih.gov/pubmed/1585659	?
Illinois.USA/14.17/G	mumps	MG986423	2017-04-05	North America	Usa	Illinois	Illinois	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986423	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Leningrad-3	mumps	JF727652	2010-XX-XX	West Asia	Russia	Russia	Russia	genbank	genome	Sidorenko et al	https://www.ncbi.nlm.nih.gov/nuccore/JF727652	Genetic stability and homogeneity of Leningrad-3 live attenuated mumps vaccine strain throughout the manufacturing process	Unpublished	?	?
Massachusetts.USA/10.16/7/G	mumps	MF965264	2016-03-10	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965264	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/23.17/FH150/G	mumps	Fred_Hutch_seq_150	2017-06-12	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/22.17/FH74/G	mumps	Fred_Hutch_seq_74	2017-05-30	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/20.17/FH81/G	mumps	Fred_Hutch_seq_81	2017-05-21	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Kansas.USA/13.17/2/G	mumps	MG986452	2017-03-29	North America	Usa	Kansas	Kansas	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986452	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/10.16/13/G	mumps	MF965218	2016-03-14	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965218	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Drag94	mumps	AY669145	?	West Asia	Russia	Russia	Russia	genbank	genome	Neverov et al	https://www.ncbi.nlm.nih.gov/nuccore/AY669145	Characterization of Mumps viruses isolated in Novosibirsk (Western Siberia) during 1994-2003	Unpublished	?	?
Massachusetts.USA/42.16/1/G	mumps	MF965301	2016-10-21	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965301	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/19.16/5/G	mumps	MF965199	2016-05-09	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965199	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/28.16/4/G	mumps	BCCDC68	2016-07-13	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
RW154.USA/0.70s/K	mumps	KF878080	1970-XX-XX	North America	Usa	Usa	Usa	genbank	genome	Jin et al	https://www.ncbi.nlm.nih.gov/nuccore/KF878080	Genomic diversity of mumps virus and global distribution of the 12 genotypes	Rev. Med. Virol. (2014) In press	https://www.ncbi.nlm.nih.gov/pubmed/25424978	K
Washington.USA/4.17/FH49/G	mumps	Fred_Hutch_seq_49	2017-01-31	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/11.16/6/G	mumps	MF965281	2016-03-22	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965281	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/12.16/2/G	mumps	MF965256	2016-03-24	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965256	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/10.16/1/G	mumps	MF965266	2016-03-07	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965266	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/13.17/G	mumps	MG986396	2017-03-26	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986396	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/17.16/1/G	mumps	MF965313	2016-04-25	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965313	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Virginia.USA/51.14/G	mumps	MG986433	2014-12-19	North America	Usa	Virginia	Virginia	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986433	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/52.16/FH75/G	mumps	Fred_Hutch_seq_75	2016-12-30	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/43.16/2/G	mumps	MF965283	2016-10-26	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965283	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/33.16/1/G	mumps	BCCDC87	2016-08-16	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Washington.USA/21.17/FH69/G	mumps	Fred_Hutch_seq_69	2017-05-22	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/12.16/5/G	mumps	MF965290	2016-03-22	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965290	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/10.16/2/G	mumps	MF965225	2016-03-08	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965225	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Kansas.USA/15.17/G	mumps	MG986385	2017-04-10	North America	Usa	Kansas	Kansas	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986385	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/8.17/2/G	mumps	BCCDC98	2017-02-23	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Iowa.USA/06/G	mumps	JX287385	2006-XX-XX	North America	Usa	Iowa	Iowa	genbank	genome	Kirkness et al	https://www.ncbi.nlm.nih.gov/nuccore/JX287385	Direct Submission	Submitted (12-JUN-2012) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	?	G
Wisconsin.USA/15.06/FH91/A	mumps	Fred_Hutch_seq_91	2006-04-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	A
