Strain	Author	Accession	Originating_Lab	Submitting_Lab	Genbank_Accession	Database	Virus
hCoV-19/Finland/THL-03524/2023	Erika Lindh et al	EPI_ISL_17323046	Huslab Finland	Expert Microbiology, National Institute for Health and Welfare		GISAID	sars2_21L
hCoV-19/USA/CT-YPL22-43649/2022	Sylvia White et al	EPI_ISL_16183516	Bridgeport Hospital - Yale New Haven Health	Yale Pathology Labs		GISAID	sars2_21L
hCoV-19/Canada/AB-ABPHL-91669/2023	Buss E et al	EPI_ISL_16766018	Edmonton Provincial Lab	Alberta Precision Labs (APL)		GISAID	sars2_21L
hCoV-19/Mongolia/UB-105210/2022	Bayasgalan Namuutsetseg et al	EPI_ISL_16392084	National Center for Communicable Diseases (NCCD) National Influenza Center	National Center for Communicable Diseases (NCCD) National Influenza Center		GISAID	sars2_21L
hCoV-19/Taiwan/NCKUH-061023000781/2023	Huey-Pin Tsai et al	EPI_ISL_17213327	Virology Lab,Department of Pathology, National Cheng Kung University Hospital	Virology Lab,Department of Pathology, National Cheng Kung University Hospital		GISAID	sars2_21L
hCoV-19/Venezuela/DttMct21/2022	Rossana C Jaspe et al	EPI_ISL_16396855	Instituto Venezolano de Investigaciones Científicas (IVIC)	Laboratorio de Virologia Molecular		GISAID	sars2_21L
hCoV-19/Sweden/1600989164/2022	Annika Ohlsson et al	EPI_ISL_16076254	Unilabs Skövde Laboratorium	Unilabs Eskilstuna Laboratorium		GISAID	sars2_21L
hCoV-19/Lebanon/SG-15/2022	Nada M. Melhem et al	EPI_ISL_16583844	Saint George Hospital University Medical Center	Melhem/Matar lab		GISAID	sars2_21L
hCoV-19/USA/FL-BPHL-16102/2022	Sarah Schmedes et al	EPI_ISL_16539633	Florida Bureau of Public Health Laboratories	Florida Bureau of Public Health Laboratories		GISAID	sars2_21L
hCoV-19/USA/GA-ASC-210993325/2022	Cyndi Clark et al	EPI_ISL_16478946	Aegis Sciences Corporation	Aegis Sciences Corporation		GISAID	sars2_21L
hCoV-19/Israel/ICH-741193469/2022	Katya Levytskyi et al	EPI_ISL_16278448	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center		GISAID	sars2_21L
hCoV-19/Mexico/PUE_IBT_IMSS_10865/2023	Julio Elías Alvarado-Yaah et al	EPI_ISL_16876959	Laboratorio Central de Epidemiología (LCE)	Instituto de Biotecnología de la UNAM		GISAID	sars2_21L
hCoV-19/Canada/NS-NSH-589062/2023	Loder et al	EPI_ISL_16853331	NS-QEII Health Sciences Centre	Nova Scotia Health Authority		GISAID	sars2_21L
hCoV-19/Poland/WSSEGorzow-23S0033/2023	Elzbieta Justynska et al	EPI_ISL_16815681	WOJSKOWA SPECJALISTYCZNA PRZYCHODNIA LEKARSKA - SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W GORZOWIE WLKP.	Wojewodzka Stacja Sanitarno-Epidemiologiczna w Gorzowie Wielkopolskim		GISAID	sars2_21L
hCoV-19/Micronesia/Y-H2218537/2022	Pamela O'Brien et al	EPI_ISL_16371734	Yap Department of Health Services, Yap Hospital Laboratory	State Laboratories Division, Hawaii State Department of Health		GISAID	sars2_21L
hCoV-19/Micronesia/Y-H2320152/2023	Pamela O'Brien et al	EPI_ISL_17074977	Yap Department of Health Services, Yap Hospital Laboratory	State Laboratories Division, Hawaii State Department of Health		GISAID	sars2_21L
hCoV-19/Micronesia/Y-H2320264/2023	Pamela O'Brien et al	EPI_ISL_17182141	Yap Department of Health Services, Yap Hospital Laboratory	State Laboratories Division, Hawaii State Department of Health		GISAID	sars2_21L
hCoV-19/TrinidadandTobago/165033/2022	Carlos Rampersad on behalf of CARPHA et al	EPI_ISL_16080647	Trinidad Public Health Laboratory	CARPHA		GISAID	sars2_21L
hCoV-19/Sweden/SUS0017413/2022	Björn Hallström et al	EPI_ISL_15843155	Clinical Microbiology, Infection Prevention and Control	Section for Molecular Diagnostics		GISAID	sars2_21L
hCoV-19/Bolivia/CBBA-PUC_MVL_3356/2022	Catalina Pardo-Roa et al	EPI_ISL_16765656	Laboratorio de Biología Molecular, IIBISMED Facultad de Medicina, Universidad Mayor de San Simón.	Laboratory of Molecular Virology, School of Medicine, Pontificia Universidad Catolica de Chile		GISAID	sars2_21L
hCoV-19/Spain/MC-HCUVA-16194397/2022	Marina Simón Páez et al	EPI_ISL_16297415	Hospital Clínico Universitario Virgen de la Arrixaca	Hospital Clínico Universitario Virgen de la Arrixaca		GISAID	sars2_21L
hCoV-19/Switzerland/BE-IFIK-221219_os_17/2022	Lea Stauber et al	EPI_ISL_16242557	Institute for Infectious Diseases	Institute for Infectious Diseases, University of Bern		GISAID	sars2_21L
hCoV-19/Uruguay/DLSP_0009/2022	Cortinas et al	EPI_ISL_16650501	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública		GISAID	sars2_21L
hCoV-19/Argentina/3531-234/2022	Castro et al	EPI_ISL_16073458	Laboratorio Central, Ministerio de Salud Córdoba	Departamento Laboratorio Central and Unidad Operativa Centro Nacional de Genómica y Bioinformática		GISAID	sars2_21L
hCoV-19/DominicanRepublic/2096650-LNSPDD/2022	Isaac Miguel Sánchez et al	EPI_ISL_15932417	Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló		GISAID	sars2_21L
hCoV-19/BosniaandHerzegovina/72/2023	Stanka Tomic et al	EPI_ISL_16940624	Institute of Public Health	Institute of Public Health		GISAID	sars2_21L
hCoV-19/Argentina/LCMSC-9898-130/2023	Castro et al	EPI_ISL_16766374	Laboratorio Central, Ministerio de Salud Córdoba	Departamento Laboratorio Central and Unidad Operativa Centro Nacional de Genómica y Bioinformática		GISAID	sars2_21L
hCoV-19/Turkey/KSS-SBU4896723197/2022	Gülay Korukluoğlu et al	EPI_ISL_16423863	Kanuni Sultan Süleyman Training and Research Hospital	Ministry of Health Turkey, Public Health Directorate, National Virology Reference Laboratory		GISAID	sars2_21L
hCoV-19/Ireland/KE-NVRL-ecS22IRL00478864/2022	Zoe Yandle et al	EPI_ISL_16648752	National Virus Reference Laboratory	National Virus Reference Laboratory		GISAID	sars2_21L
hCoV-19/Ghana/NMIMR-N-22-4918/2022	Quaneeta Mohktar et al	EPI_ISL_16275940	Noguchi Memorial Institute for Medical Research, University of Ghana, Legon, Ghana	Noguchi Memorial Institute for Medical Research, University of Ghana, Legon, Ghana		GISAID	sars2_21L
hCoV-19/Canada/PE-NML-583077/2023	Vanessa Arseneau et al	EPI_ISL_17213235	PE-QEH Dept of Lab Medicine	National Microbiology Laboratory (NML)		GISAID	sars2_21L
hCoV-19/Luxembourg/LNS3113512/2022	Anke Wienecke-Baldacchino et al	EPI_ISL_16498661	Hospital Center Emile Mayrisch	Laboratoire National de Santé Microbiology		GISAID	sars2_21L
hCoV-19/Portugal/PT44780/2022	Borges et al	EPI_ISL_16178607	CH Tondela Viseu	Instituto Nacional de Saude Doutor Ricardo Jorge (INSA)		GISAID	sars2_21L
hCoV-19/SaudiArabia/KAUST624/2022	Sabir A Adoub et al	EPI_ISL_17088941	King Faisal Specialist Hospital & Research Center	Pathogen Genomics Lab King Abdullah University of Science and Technology (KAUST)		GISAID	sars2_21L
hCoV-19/NewZealand/23YA1109/2023	Sarah Cockerton et al	EPI_ISL_17252078	Wellington SCL	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Guinea/CERFIG-38144/2022	Thibaut Armel Cherif GNIMADI et al	EPI_ISL_15581447	Centre de recherche et de formation en infectiologie de Guinée	Centre de recherche et de formation en infectiologie de Guinée		GISAID	sars2_21L
hCoV-19/CaboVerde/ST-AG0867/2022	Kevin Sanders et al	EPI_ISL_16761442	Virology Laboratory of Praia	Instituto Nacional de Saúde Pública (INSP)		GISAID	sars2_21L
hCoV-19/Finland/THL-01667/2023	Erika Lindh et al	EPI_ISL_16879188	Nordlab Oulu	Expert Microbiology, National Institute for Health and Welfare		GISAID	sars2_21L
hCoV-19/Kenya/SS11205/2022	Githinji G. et al	EPI_ISL_16148368	The Nairobi Hospital	KEMRI-Wellcome Trust Research Programme,Kilifi		GISAID	sars2_21L
hCoV-19/Congo/FCRM-203-17837/2022	Mfoutou Mapanguy Claujens Chastel et al	EPI_ISL_15334249	Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Fondation Congolaise pour la Recherche Médicale		GISAID	sars2_21L
hCoV-19/Portugal/PT44592/2022	Borges et al	EPI_ISL_16073912	H Divino Espirito Santo - Ponta Delgada	Instituto Nacional de Saude Doutor Ricardo Jorge (INSA)		GISAID	sars2_21L
hCoV-19/Mali/CICM-28149/2022	Antoine Dara et al	EPI_ISL_17401207	CICM, Bamako	Malaria Research and Training Center		GISAID	sars2_21L
hCoV-19/Italy/EMR-IZSLER-009198-011-01/2023	Monica Pecorari et al	EPI_ISL_16539944	Azienda Ospedaliero - Universitaria di Modena Policlinico - Virologia e Microbiologia Molecolare	Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna (IZSLER), Risk Analysis and Genomic Epidemiology Unit		GISAID	sars2_21L
hCoV-19/Bonaire/BQ-RIVM-118823/2022	Adam Meijer et al	EPI_ISL_16007467	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Iceland/L-3240/2022	Freyja Valsdottir et al	EPI_ISL_16408459	Landspitali Department of Clinical Microbiology	Landspitali Department of Clinical Microbiology		GISAID	sars2_21L
hCoV-19/Andorra/AND-266_223141283701-GC/2022	Rendon M et al	EPI_ISL_16128267	Laboratori d'anàlisis clíniques, Hospital Nostra Senyora de Meritxell	LBM de CHU de Toulouse, Hôpitaux de Toulouse		GISAID	sars2_21L
hCoV-19/Mexico/COA-LANGEBIO_IMSS_13941/2023	Julio Elias Alvarado-Yaah et al	EPI_ISL_16968317	Centro de Investigacion Biomedica del Noreste	Unidad de Genomica Avanzada		GISAID	sars2_21L
hCoV-19/USA/MP-CDC-2-6776452/2023	Mili Sheth et al	EPI_ISL_16757230	Commonwealth Healthcare Center	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery		GISAID	sars2_21L
hCoV-19/SintMaarten/SX-RIVM-123665/2022	Adam Meijer et al	EPI_ISL_16509426	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Brazil/RJ-LNN10937/2022	Alessandra P Lamarca et al	EPI_ISL_16683814	Laboratorio Central Noel Nutels	Bioinformatics Laboratory / Laboratorio Nacional de Computaçao Cientifica		GISAID	sars2_21L
hCoV-19/NewZealand/22YA3184/2022	Sarah Cockerton et al	EPI_ISL_15277265	Medlab Central (PN)	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/USA/CT-DPH-1130361001/2022	Claire Pearson et al	EPI_ISL_16609211	Connecticut Department of Public Health	Connecticut Department of Public Health		GISAID	sars2_21L
hCoV-19/Chile/MA-131251/2022	Mariela Guajardo et al	EPI_ISL_16639745	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile		GISAID	sars2_21L
hCoV-19/USA/KY-CDC-LC0985315/2022	Dakota Howard et al	EPI_ISL_16669714	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery		GISAID	sars2_21L
hCoV-19/Ghana/NMIMR-N-22-4673/2022	Quaneeta Mohktar et al	EPI_ISL_16275975	Noguchi Memorial Institute for Medical Research, University of Ghana, Legon, Ghana	Noguchi Memorial Institute for Medical Research, University of Ghana, Legon, Ghana		GISAID	sars2_21L
hCoV-19/Peru/LIM-INS-35578/2022	Carlos Padilla Rojas et al	EPI_ISL_16337412	Laboratorio de Referencia Nacional de Virus Inmunoprevenibles. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Inmunoprevenibles. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.		GISAID	sars2_21L
hCoV-19/Uruguay/DLSP_3957/2022	Cortinas et al	EPI_ISL_16378324	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública		GISAID	sars2_21L
hCoV-19/NewZealand/22YA5793/2022	Sarah Cockerton et al	EPI_ISL_16436003	Medlab Central (PN)	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22ZA5019/2022	Sarah Cockerton et al	EPI_ISL_16433965	Medlab South	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/USA/AK-ANMC-0036/2023	James Tiesinga et al	EPI_ISL_16609700	Alaska Native Medical Center Laboratory	Alaska Native Medical Center Laboratory		GISAID	sars2_21L
hCoV-19/Taiwan/CDC-F78730/2023	Yu-Chi Lin et al	EPI_ISL_17283537	Centers for Disease Control, R.O.C. (Taiwan)	Centers for Disease Control, R.O.C. (Taiwan)		GISAID	sars2_21L
hCoV-19/Coted-Ivoire/IPCI-DVE-C847392/2023	Hervé Albéric Adje Kadjo et al	EPI_ISL_16894719	Departement of Epidemic Viruses	Departement of Epidemic Viruses Institut Pasteur of Cote d'Ivoire Abidjan		GISAID	sars2_21L
hCoV-19/Togo/TOG-BL22C19905/2022	A.A. KONOU et al	EPI_ISL_17075737	BIOLIM/FSS-UL	BIOLIM/FSS-UL		GISAID	sars2_21L
hCoV-19/Mexico/VER_InDRE_FB22253_E30319581860_S15430/2022	Claudia Wong-Arambula et al	EPI_ISL_15945547	LESP Veracruz	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)		GISAID	sars2_21L
hCoV-19/USA/PA-PHL2-B-G07-1216/2022	Vincent Tu et al	EPI_ISL_16632219	Temple University	Philadelphia Department of Public Health, Public Health Laboratory		GISAID	sars2_21L
hCoV-19/Uruguay/DLSP_419/2023	Cortinas et al	EPI_ISL_17227713	Departamento Laboratorios de Salud Publica (DLSP) Ministerio de Salud Publica	Departamento Laboratorios de Salud Publica (DLSP) Ministerio de Salud Publica		GISAID	sars2_21L
hCoV-19/Panama/M7-GMI/2022	Claudia Gonzalez et al	EPI_ISL_16315456	Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies		GISAID	sars2_21L
hCoV-19/Venezuela/DttoLAB8_6/2023	Rossana C Jaspe et al	EPI_ISL_17283548	IVIC	Laboratorio de Virologia Molecular		GISAID	sars2_21L
hCoV-19/Venezuela/Dtto8901/2023	Rossana C Jaspe et al	EPI_ISL_17283541	IVIC	Laboratorio de Virologia Molecular		GISAID	sars2_21L
hCoV-19/Venezuela/Dtto8837/2022	Rossana C Jaspe et al	EPI_ISL_16958090	IVIC	Laboratorio de Virologia Molecular		GISAID	sars2_21L
hCoV-19/Venezuela/Dtto7575/2023	Rossana C Jaspe et al	EPI_ISL_16958085	IVIC	Laboratorio de Virologia Molecular		GISAID	sars2_21L
hCoV-19/Colombia/DC-LSPSDS-1941/2023	Johana Hernandez Toloza et al	EPI_ISL_16863197	USS EL TUNAL	Instituto Distrital de Ciencia, Biotecnología e Innovación en Salud - LSPSDS		GISAID	sars2_21L
hCoV-19/Ecuador/NIC-INSPI-434174/2023	Alfredo Bruno et al	EPI_ISL_16803568	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS		GISAID	sars2_21L
hCoV-19/Ecuador/NIC-INSPI-8159041/2022	Alfredo Bruno et al	EPI_ISL_16319002	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS-INTERLAB	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS		GISAID	sars2_21L
hCoV-19/France/ARA-CHUGA-2119983902/2022	Sylvie Larrat et al	EPI_ISL_15791510	Chuga-Ibp-Laboratoire De Virologie	Centre Hospitalier Universitaire (CHU) Grenoble		GISAID	sars2_21L
hCoV-19/Coted-Ivoire/IPCI-DVE-COV837981/2022	Hervé Albéric Adje Kadjo et al	EPI_ISL_15851168	Departement of Epidemic Viruses	Departement of Epidemic Viruses Institut Pasteur of CotedIvoire Abidjan		GISAID	sars2_21L
hCoV-19/India/HR-INSACOG-NII-1543/2023	Aneeshkumar Arimbasseri et al	EPI_ISL_16649094	RTPCR Lab Gurugram	National Institute of Immunology		GISAID	sars2_21L
hCoV-19/Australia/VIC77058/2022	Seemann et al	EPI_ISL_15978821	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL), The Peter Doherty Institute for Infection and Immunity	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL), The Peter Doherty Institute for Infection and Immunity		GISAID	sars2_21L
hCoV-19/Australia/NSW-SAVID-15824/2022	Foster et al	EPI_ISL_16438179	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick, Prince of Wales Hospital	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick, Prince of Wales Hospital		GISAID	sars2_21L
hCoV-19/Argentina/PAIS-A1713/2022	Marcia Pozzati et al	EPI_ISL_16732383	Hospital General de Agudos Dr. Cosme Argerich	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)		GISAID	sars2_21L
hCoV-19/DominicanRepublic/2096967-LNSPDD/2022	Isaac Miguel Sánchez et al	EPI_ISL_15932438	Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló		GISAID	sars2_21L
hCoV-19/Guadeloupe/IPP01318/2023	Marion Barbet et al	EPI_ISL_16682786	Outre mer	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris		GISAID	sars2_21L
hCoV-19/NewZealand/22XA5799/2022	Sarah Cockerton et al	EPI_ISL_16050926	Waikato DHB Laboratory	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Mali/CICM-28442/2022	Antoine Dara et al	EPI_ISL_17401232	CICM, Bamako	Malaria Research and Training Center		GISAID	sars2_21L
hCoV-19/USA/OK-PHL-0024282/2022	"""Wang et al"	EPI_ISL_17108149	Public Health Lab- Molecular, Oklahoma Department of Health	Public Health Lab- Molecular, Oklahoma Department of Health		GISAID	sars2_21L
hCoV-19/Lithuania/MB230109_0034/2023	Lukas Zemaitis et al	EPI_ISL_16700343	VsI Kauno miesto poliklinika	National Public Health Surveillance Laboratory		GISAID	sars2_21L
hCoV-19/Spain/GA-CHUS-109829-2/2023	Xosé Costa et al	EPI_ISL_17077148	Complejo Hospitalario Universitario de Santiago - Servizo de Microbioloxía	Complejo Hospitalario Universitario de Santiago - Servizo de Microbioloxía		GISAID	sars2_21L
hCoV-19/USA/OK-PHL-0024879/2022	"""Wang et al"	EPI_ISL_17107361	Public Health Lab- Molecular, Oklahoma Department of Health	Public Health Lab- Molecular, Oklahoma Department of Health		GISAID	sars2_21L
hCoV-19/Congo/FCRM-206-CeRMI1278/2022	Mfoutou Mapanguy Claujens Chastel et al	EPI_ISL_15334252	Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Fondation Congolaise pour la Recherche Médicale		GISAID	sars2_21L
hCoV-19/CostaRica/INC-9117-778778/2022	Francisco Duarte et al	EPI_ISL_16523904	AREA DE SALUD HEREDIA-VIRILLA	Inciensa, Instituto de Investigación y Enseñanza en Nutrición y Salud		GISAID	sars2_21L
hCoV-19/Uganda/989/2022	Alisen Ayitewala et al	EPI_ISL_16844977	Makerere Molecular Laboratory	Central Public Health Laboratories		GISAID	sars2_21L
hCoV-19/Uruguay/DLSP_3881/2022	Cortinas et al	EPI_ISL_16378313	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública		GISAID	sars2_21L
hCoV-19/Uruguay/DLSP_3907/2022	Cortinas et al	EPI_ISL_16378315	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública		GISAID	sars2_21L
hCoV-19/Ecuador/GENSBIO-INSPI-SG-46/2023	Andres Carrazco-Montalvo* et al	EPI_ISL_16894416	Laboratorio de Influenza y Otros Virus Respiratorios, INSPI-CZ9	Centro de Referencia Nacional de Genomica, Secuenciacion y Bioinformatica GENSBIO, INSPI-CZ9		GISAID	sars2_21L
hCoV-19/Ecuador/USFQ-4439/2022	Belén Prado-Vivar et al	EPI_ISL_16022277	Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito		GISAID	sars2_21L
hCoV-19/DominicanRepublic/2124831-LNSPDD/2022	Isaac Miguel Sánchez et al	EPI_ISL_16533181	Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló		GISAID	sars2_21L
hCoV-19/Mexico/HID_InDRE_S15941/2023	Claudia Wong-Arambula et al	EPI_ISL_16889516	Laboratorio Estatal de Salud Pública (LESP) Hidalgo	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)		GISAID	sars2_21L
hCoV-19/Bangladesh/IEDCR-1101968/2023	Manjur Hossain Khan et al	EPI_ISL_16529237	Institute of Epidemiology, Disease Control and Research (IEDCR)	Institute of Epidemiology, Disease Control and Research (IEDCR)		GISAID	sars2_21L
hCoV-19/Spain/RI-CIBIR-304936571-Run48/2022	María de Toro et al	EPI_ISL_17221961	Hospital San Pedro Logroño	Centro de Investigación Biomédica de La Rioja		GISAID	sars2_21L
hCoV-19/Brazil/RJ-LNN11263/2023	Alessandra P Lamarca et al	EPI_ISL_16684119	Laboratorio Central Noel Nutels	Bioinformatics Laboratory / Laboratorio Nacional de Computaçao Cientifica		GISAID	sars2_21L
hCoV-19/England/QEUH-326940E4/2023	Harper VanSteenhouse et al	EPI_ISL_16535417	Lighthouse Lab in Glasgow	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium		GISAID	sars2_21L
hCoV-19/Uruguay/DLSP_3993/2022	Cortinas et al	EPI_ISL_16378336	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública		GISAID	sars2_21L
hCoV-19/Uruguay/DLSP_0065/2023	Cortinas et al	EPI_ISL_16650517	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública		GISAID	sars2_21L
hCoV-19/Lesotho/MHML-93402/2023	Marelebogile Pooe et al	EPI_ISL_16641610	National Reference Laboratories	National Reference Laboratory - Ministry of Health Maseru Lesotho		GISAID	sars2_21L
hCoV-19/Zimbabwe/78703/2023	Air Comodore Dr. J Chimedza et al	EPI_ISL_17324901	National Microbiology Reference Laboratory	National Microbiology Reference Laboratory		GISAID	sars2_21L
hCoV-19/Romania/B-547599/2023	Catalina Pascu et al	EPI_ISL_17385318	Cantacuzino National Military-Medical Institute, Viral Respiratory Infections Laboratory	Cantacuzino National Military-Medical Institute, Viral Respiratory Infections Laboratory		GISAID	sars2_21L
hCoV-19/Greece/50477/2022	Kyriaki Tryfinopoulou et al	EPI_ISL_17391532	National Public Health Organization	National Public Health Organization		GISAID	sars2_21L
hCoV-19/Coted-Ivoire/IPCI-DVE-E749975/2022	Hervé Albéric Adje Kadjo et al	EPI_ISL_16445310	Departement of Epidemic Viruses	Departement of Epidemic Viruses Institut Pasteur of CotedIvoire Abidjan		GISAID	sars2_21L
hCoV-19/Guadeloupe/IPP03327/2023	Marion Barbet et al	EPI_ISL_16958268	Labo Analyses Med	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris		GISAID	sars2_21L
hCoV-19/NewZealand/22YA5383/2022	Sarah Cockerton et al	EPI_ISL_16435962	Pathlab Tauranga	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Mexico/CMX_IBT_IMSS_10416/2022	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in last name alphabetical order): Julio Elías Alvarado-Yaah et al	EPI_ISL_16712399	Laboratorio Central de Epidemiología (LCE)	Instituto de Biotecnología de la UNAM		GISAID	sars2_21L
hCoV-19/Bonaire/BQ-RIVM-121895/2022	Adam Meijer et al	EPI_ISL_16445501	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/DRC/INRB-RDC-1356/2022	Placide Mbala-Kingebeni et al	EPI_ISL_15689157	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)		GISAID	sars2_21L
hCoV-19/CzechRepublic/BC_B41_15_01_23_9/2023	Martin Kolisko et al	EPI_ISL_16547644	Nemocnice Strakonice	Institute of Parasitology, Biology Centre, CAS		GISAID	sars2_21L
hCoV-19/SaintLucia/173259/2023	Carlos Rampersad on behalf of CARPHA et al	EPI_ISL_16913085	Ezra Long Laboratory Victoria Hospital	CARPHA		GISAID	sars2_21L
hCoV-19/Slovakia/BA_23_00001424/2023	Anna Kaliňáková et al	EPI_ISL_17173003	Public Health Authority of the Slovak Republic	Laboratory of Genomics and Bioinformatics, Comenius University Science Park		GISAID	sars2_21L
hCoV-19/Aruba/AW-RIVM-116995/2022	Adam Meijer et al	EPI_ISL_15762722	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Aruba/AW-RIVM-118846/2022	Adam Meijer et al	EPI_ISL_16007448	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Aruba/AW-RIVM-118852/2022	Adam Meijer et al	EPI_ISL_16007454	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Australia/SA524623/2023	Caitlin Selway et al	EPI_ISL_17029611	SA Pathology	SA Pathology		GISAID	sars2_21L
hCoV-19/Liechtenstein/FL-Risch-1227R15436/2022	Nadia Wohlwend et al	EPI_ISL_16352032	Dr. Risch Ostschweiz AG	Dr Risch Laboratory		GISAID	sars2_21L
hCoV-19/Argentina/PAIS-D0609/2022	Gramundi et al	EPI_ISL_16318725	Laboratorio del Hospital Regional Ushuaia Gdor. Ernesto Campos	Nodo de Secuenciación Tierra del Fuego - Hospital Regional Ushuaia - Centro Austral De Investigaciones Científicas - Universidad Nacional De Tierra Del Fuego on behalf Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium) and ANLIS-Malbran		GISAID	sars2_21L
hCoV-19/Andorra/AND-257_223141283401-GC/2022	Rendon M et al	EPI_ISL_16128261	Laboratori d'anàlisis clíniques, Hospital Nostra Senyora de Meritxell	LBM de CHU de Toulouse, Hôpitaux de Toulouse		GISAID	sars2_21L
hCoV-19/Canada/AB-ABPHL-89306/2022	Buss E et al	EPI_ISL_16492338	Provincial Laboratory for Public Health (ProvLab)	Alberta Precision Laboratories		GISAID	sars2_21L
hCoV-19/Ireland/D-NVRL-S22IRL00470791/2022	Zoe Yandle et al	EPI_ISL_16234529	National Virus Reference Laboratory	National Virus Reference Laboratory		GISAID	sars2_21L
hCoV-19/Netherlands/NH-RIVM-124763/2023	Adam Meijer et al	EPI_ISL_16759753	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Latvia/2212002486/2022	Reinis Vangravs et al	EPI_ISL_16628481	Riga East University Hospital	Riga East University Hospital, National Microbiology Reference Laboratory		GISAID	sars2_21L
