Strain	Accession	Genbank_Accession	Originating_Lab	Submitting_Lab	Author	Database	Virus
hCoV-19/DominicanRepublic/2029804-LNSPDD/2022	EPI_ISL_13998943		Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló	Isaac Miguel Sánchez et al	GISAID	sars2
hCoV-19/Lesotho/N47986/2022	EPI_ISL_14952327		National Reference Laboratories	National Institute for Communicable Diseases of the National Health Laboratory Service	Maphalala G et al	GISAID	sars2
hCoV-19/Colombia/TOL-INS-VG-24546/2022	EPI_ISL_15075293		ANALICEMOS LABORATORIO CLINICO ESPECIALIZADO	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al B	GISAID	sars2
hCoV-19/Mexico/HID-INMEGEN-92-195/2022	EPI_ISL_15224767		SALUD DIGNA	Instituto Nacional de Medicina Genomica	Cedro-Tanda A et al	GISAID	sars2
hCoV-19/Latvia/2207050795/2022	EPI_ISL_16620794		Riga East University Hospital	Riga East University Hospital, National Microbiology Reference Laboratory	Reinis Vangravs et al	GISAID	sars2
hCoV-19/DominicanRepublic/2013998-LNSPDD/2022	EPI_ISL_13811389		Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló	Isaac Miguel Sánchez et al	GISAID	sars2
hCoV-19/Senegal/DKR-UVR-C003/2022	EPI_ISL_15321651		Institut Pasteur de Dakar	Institut Pasteur de Dakar	Ndongo Dia et al	GISAID	sars2
hCoV-19/Zambia/CHAZ-CHS2248/2022	EPI_ISL_14005178		CHAZ Laboratory	CHAZ Laboratory	Shempela. D et al	GISAID	sars2
hCoV-19/Mozambique/INS-PCS0026964/2022	EPI_ISL_16086288		Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde	Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde	Sofia Viegas et al	GISAID	sars2
hCoV-19/Country/60262/2022	EPI_ISL_16958551		Limbe Health Centre	National Genomics Reference Laboratory	Kagoli M et al	GISAID	sars2
hCoV-19/Zimbabwe/77842/2022	EPI_ISL_16724332		National Microbiology Reference Laboratory	National Microbiology Reference Laboratory	Air Comodore Dr. J Chimedza et al	GISAID	sars2
hCoV-19/Uganda/UVRI451510/2022	EPI_ISL_16982261		UVRI CLINIC	UVRI_ARBOVIROLOGY_DEPARTMENT	John Kayiwa et al	GISAID	sars2
hCoV-19/SaudiArabia/KAUST174/2022	EPI_ISL_15826962		King Faisal Specialist Hospital & Research Center	Pathogen Genomics Lab King Abdullah University of Science and Technology (KAUST)	Sabir A Adoub et al	GISAID	sars2
hCoV-19/Eswatini/N47829/2022	EPI_ISL_14501273		The Luke Commission	National Institute for Communicable Diseases of the National Health Laboratory Service	Maphalala G et al	GISAID	sars2
hCoV-19/Brazil/SP-IMTSP-CD33826/2022	EPI_ISL_15117927		DB Diagnosticos do Brasil	Instituto de Medicina Tropical de Sao Paulo	Ester Cerdeira Sabino et al	GISAID	sars2
hCoV-19/Botswana/R145B46_BHP_AAC93350/2022	EPI_ISL_13667924		Botswana Harvard HIV Reference Laboratory	Botswana Harvard AIDS Institute Partnership	Sikhulile Moyo et al	GISAID	sars2
hCoV-19/France/OCC-GENBIO-C19GN2060003/2022	EPI_ISL_14195520		Med66 - Quai Valliere	Gen-Bio Inovie Gravanches	Stephan Kemeny et al	GISAID	sars2
hCoV-19/USA/GA-GPHL-1770/2022	EPI_ISL_13719485	ON953733.1	GA Department of Public Health	GA Department of Public Health	Tonia Parrott et al	GISAID	sars2
hCoV-19/USA/NJ-CDC-QDX42555669/2022	EPI_ISL_15584353		Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al	GISAID	sars2
hCoV-19/Mexico/COA-IBT-IMSS-8857/2022	EPI_ISL_14443643		Centro de Investigación Biomédica del Noreste (CIBIN)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/USA/IA-SHL-2125425/2022	EPI_ISL_13673304		State Hygienic Laboratory at the University of Iowa	State Hygienic Laboratory at the University of Iowa	Valerie Reeb et al	GISAID	sars2
hCoV-19/Aruba/AW-RIVM-106922/2022	EPI_ISL_14239328		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/Mozambique/INS-PCS0023736/2022	EPI_ISL_14612122		Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde	Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde	Sofia Viegas et al	GISAID	sars2
hCoV-19/Uganda/753/2022	EPI_ISL_15909077		Central Public Health Laboratories	Central Public Health Laboratories	Alisen Ayitewala et al	GISAID	sars2
hCoV-19/France/ARA-cerba-22Q0670741/2022	EPI_ISL_14322127		Cerballiance Rhone Alpes	Laboratoire Cerba	Laura Verdurme et al	GISAID	sars2
hCoV-19/DominicanRepublic/2048193-LNSPDD/2022	EPI_ISL_14614283		Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló	Isaac Miguel Sánchez et al	GISAID	sars2
hCoV-19/DominicanRepublic/2024828-LNSPDD/2022	EPI_ISL_13998914		Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló	Isaac Miguel Sánchez et al	GISAID	sars2
hCoV-19/Bermuda/164188/2022	EPI_ISL_15639336		Department of Health	CARPHA	Carlos Rampersad on behalf of CARPHA et al	GISAID	sars2
hCoV-19/Spain/CT-HUB06892/2022	EPI_ISL_15699127		HOSPITAL UNIVERSITARI DE BELLVITGE	Microbiology Department	Sara Marti et al	GISAID	sars2
hCoV-19/Peru/LIM-INS-32478/2022	EPI_ISL_15944237		Laboratorio de Referencia Nacional de Virus Inmunoprevenibles. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Inmunoprevenibles. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Carlos Padilla Rojas et al	GISAID	sars2
hCoV-19/Peru/LIM-INS-31114/2022	EPI_ISL_15723611		Laboratorio de Referencia Nacional de Virus Inmunoprevenibles. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Inmunoprevenibles. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Carlos Padilla Rojas et al	GISAID	sars2
hCoV-19/Brazil/RS-LACENRS-431799867/2022	EPI_ISL_16026505		LACEN/CEVS/SES-RS	LACEN/CEVS/SES-RS	Richard Steiner Salvato et al	GISAID	sars2
hCoV-19/Chile/TA-113109/2022	EPI_ISL_15334418		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Constanza Campano et al	GISAID	sars2
hCoV-19/DominicanRepublic/2069072-LNSPDD/2022	EPI_ISL_15164567		Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló	Isaac Miguel Sánchez et al	GISAID	sars2
hCoV-19/DominicanRepublic/2033899-LNSPDD/2022	EPI_ISL_14151677		Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló	Isaac Miguel Sánchez et al	GISAID	sars2
hCoV-19/DominicanRepublic/2067285-LNSPDD/2022	EPI_ISL_15164643		Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló	Isaac Miguel Sánchez et al	GISAID	sars2
hCoV-19/Ecuador/GENSBIO-INSPI-26621/2022	EPI_ISL_15370388		Laboratorio de Influenza y Otros Virus Respiratorios, INSPI-CZ9	Centro de Referencia Nacional de Genomica, Secuenciacion y Bioinformatica GENSBIO, INSPI-CZ9	Andres Carrazco-Montalvo* et al	GISAID	sars2
hCoV-19/DominicanRepublic/2048960-LNSPDD/2022	EPI_ISL_14614292		Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló	Isaac Miguel Sánchez et al	GISAID	sars2
hCoV-19/DominicanRepublic/2081298-LNSPDD/2022	EPI_ISL_15647861		Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló	Isaac Miguel Sánchez et al	GISAID	sars2
hCoV-19/DominicanRepublic/2075237-LNSPDD/2022	EPI_ISL_15435683		Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló	Isaac Miguel Sánchez et al	GISAID	sars2
hCoV-19/Mexico/ZAC_IBT_IMSS_9557/2022	EPI_ISL_15248673		Unidad de Investigación Biomédica de Zacatecas (UIBZ)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/USA/AZ-ASU90259/2022	EPI_ISL_14903886		Arizona State University	Arizona State University	Steven C. Holland et al	GISAID	sars2
hCoV-19/PuertoRico/PR-CVL-009330/2022	EPI_ISL_16359941		Laboratorio Clinico Toledo	PRCVSI	Lorraine D Rodriguez-Rivera et al	GISAID	sars2
hCoV-19/Argentina/PAIS-A1649/2022	EPI_ISL_16045324		Laboratorio de Biología molecular del Hospital General de Agudos Dr. Carlos G. Durand	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Clara Theaux et al	GISAID	sars2
hCoV-19/DominicanRepublic/2048529-LNSPDD/2022	EPI_ISL_14614286		Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló	Isaac Miguel Sánchez et al	GISAID	sars2
hCoV-19/USA/AK-ANMC-0184/2022	EPI_ISL_15594297		Alaska Native Medical Center Laboratory	Alaska Native Medical Center Laboratory	James Tiesinga et al	GISAID	sars2
hCoV-19/Canada/NB-CHUDGLD-120822-MM00260R/2022	EPI_ISL_14845957		NB-Hôpital Georges L. Dumont	New Brunswick - Vitalité Health Network	Chacko S. et al	GISAID	sars2
hCoV-19/Uganda/UVRI456575/2023	EPI_ISL_16982263		UVRI CLINIC-CF	UVRI_ARBOVIROLOGY_DEPARTMENT	John Kayiwa et al	GISAID	sars2
hCoV-19/Algeria/27381/2022	EPI_ISL_13080450		Service microbiologie - EHU Oran	Virology Departement	Zahida Mehdi et al	GISAID	sars2
hCoV-19/Ecuador/USFQ-3338/2022	EPI_ISL_12590934		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Mateo Carvajal et al	GISAID	sars2
hCoV-19/Moldova/G0003/2022	EPI_ISL_13159669		MedExpert	MedExpert	Vadim Nirca et al	GISAID	sars2
hCoV-19/Macedonia/5827/2022	EPI_ISL_10259087		Laboratory of Virology - Institute of Public Health Skopje, Macedonia	Laboratory of Virology - Institute of Public Health Skopje, Macedonia	Teodora Buzharova et al	GISAID	sars2
hCoV-19/Sudan/SS5863/2022	EPI_ISL_14620417		National Public Health Laboratory - Sudan	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al	GISAID	sars2
hCoV-19/SriLanka/aicbu4632/2022	EPI_ISL_10104405		Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)	Chandima Jeewandara et al B	GISAID	sars2
hCoV-19/Norway/20445/2022	EPI_ISL_12809459		University Hospital of Northern Norway, Department for Microbiology and Infectious Disease Control	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al	GISAID	sars2
hCoV-19/England/LSPA-3CD13BF/2022	EPI_ISL_11726012	OW426525.1	Rosalind Franklin Laboratory	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Donald Fraser et al	GISAID	sars2
hCoV-19/Spain/GA-CHUVI-34686390/2022	EPI_ISL_12810145		Microbiology Department. Complexo Hospitalario Universitario de Vigo	Microbiology Department. Complexo Hospitalario Universitario de Vigo	Microbiology Department. Complexo Hospitalario Universitario de Vigo et al	GISAID	sars2
hCoV-19/Russia/MOW-PMVL-DZ-28062578280/2022	EPI_ISL_15865985		N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	Vladimir A. Gushchin et al	GISAID	sars2
hCoV-19/Lithuania/LSMULKKGMMK40C124/2022	EPI_ISL_11834839		UAB Diagnostikos laboratorija	Hospital of Lithuanian University of Health Sciences (LSMU) Kaunas Clinics	Rasa Ugenskiene et al	GISAID	sars2
hCoV-19/Australia/SA206104/2022	EPI_ISL_12442584		SA Pathology	SA Pathology	Caitlin Selway et al	GISAID	sars2
hCoV-19/Suriname/SR-1035/2022	EPI_ISL_13131272		Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink et al	GISAID	sars2
hCoV-19/Georgia/Tb-sNGS4700/2022	EPI_ISL_11029740		Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Giorgi Tomashvili et al	GISAID	sars2
hCoV-19/Iran/BB2533/2022	EPI_ISL_13802779		Reference laboratory of health deputy	COVID-19 National Reference Laboratory, Pasteur Institute of Iran	Ali Maleki et al	GISAID	sars2
hCoV-19/Bahrain/R422690054284_S8_L001/2022	EPI_ISL_15252401	ON629702.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	Marhoon et al	GISAID	sars2
hCoV-19/Myanmar/DSMRC-094/2022	EPI_ISL_11149639	ON038767.1	DSMRC	Defence Services Medical Research Centre (DSMRC)	Khine Zaw Oo et al	GISAID	sars2
hCoV-19/Serbia/J949829-05/2022	EPI_ISL_13304966		Huo-yan national laboratory for molecular detection of infectious agents Nis	Institute of Molecular Genetics and Genetic Engineering University of Belgrade	Valentina Djordjevic et al	GISAID	sars2
hCoV-19/Peru/LIM-INS-17545/2022	EPI_ISL_13142183		Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Carlos Padilla Rojas et al	GISAID	sars2
hCoV-19/Peru/LIM-INS-17017/2022	EPI_ISL_12961019		Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Carlos Padilla Rojas et al	GISAID	sars2
hCoV-19/Romania/BZ-19829/2022	EPI_ISL_15488801		Department of Public Health Buzau	National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	Corina Casangiu et al	GISAID	sars2
hCoV-19/Venezuela/Voy1420/2022	EPI_ISL_15165709		IVIC	Laboratorio de Virologia Molecular	Rossana C Jaspe et al	GISAID	sars2
hCoV-19/Germany/SH-RKI-I-588074/2022	EPI_ISL_10904955		LADR Zentrallabor DR. Kramer & Kollegen Geesthacht	Robert Koch Institute	?	GISAID	sars2
hCoV-19/Tunisia/01/2022	EPI_ISL_11986484		1-Laboratory of Microbiology, National Reference Lab, Charles Nicolle Hospital 2-Laboratory of Medical analysis, Nord Hilton	Clinical and Experimental Pharmacology Lab, LR16SP02, National Center of Pharmacovigilance, University of Tunis El Manar, Tunis, Tunisia. 2- Ministry of Health, National Observatory of New and Emerging Diseases, 1006, Tunis, Tunisia	Sana Ferjani et al	GISAID	sars2
hCoV-19/Kuwait/Jaber2220148338/2022	EPI_ISL_13477537		Jaber Al Ahmad Hospital	Virology Lab, Jaber Al Ahmad Hospital	Dr. Zahrah Buhamad et al	GISAID	sars2
hCoV-19/USA/CO-CDPHE-2103248223/2022	EPI_ISL_13132466	ON734664.1	Colorado Department of Public Health and Environment	Colorado Department of Public Health and Environment	Laura Bankers et al	GISAID	sars2
hCoV-19/PuertoRico/PR-ASC-210723950/2022	EPI_ISL_14846531		Aegis Sciences Corporation	Aegis Sciences Corporation	Cyndi Clark et al	GISAID	sars2
hCoV-19/Australia/QLD0x00E19C/2022	EPI_ISL_12220688		Forensic and Scientific Services	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Patricia Wolf on behalf of Q-PHIRE Genomics et al	GISAID	sars2
hCoV-19/Australia/TAS001189/2022	EPI_ISL_11834269		Royal Hobart Hospital	Royal Hobart Hospital	J Williamson et al	GISAID	sars2
hCoV-19/Australia/QLD0x00EA51/2022	EPI_ISL_12870318		Pathology Queensland and Forensic Scientific Services	Public Health Virology - Forensic and Scientific Services (PHV-FSS)	Chenwei Wang on behalf of Q-PHIRE Genomics et al	GISAID	sars2
hCoV-19/Indonesia/JB-GS-WJHL-ITB-C44101/2022	EPI_ISL_12509936		Puskesmas Cipageran	West Java Health Laboratory; School of Life Sciences and Technology, Institut Teknologi Bandung	Azzania Fibriani et al	GISAID	sars2
hCoV-19/Ireland/KK-NVRL-ecS22IRL00320076/2022	EPI_ISL_13775392		National Virus Reference Laboratory	National Virus Reference Laboratory	Zoe Yandle et al	GISAID	sars2
hCoV-19/Australia/NSW-ICPMR-24572/2022	EPI_ISL_12557186		Pathology West - NSW Health Pathology	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Arnott A. et al	GISAID	sars2
hCoV-19/Curacao/CW-RIVM-92134/2022	EPI_ISL_11407581		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/Mexico/MOR_LANGEBIO_IMSS_6464/2022	EPI_ISL_13164313		Laboratorio Central de Epidemiologia (LCE)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/Canada/QC-L00487636001/2022	EPI_ISL_13631593		Laboratoire de santé publique du Québec	Laboratoire de santé publique du Québec	Sandrine Moreira et al	GISAID	sars2
hCoV-19/USA/ID-ASC-210776712/2022	EPI_ISL_14953662		Aegis Sciences Corporation	Aegis Sciences Corporation	Cyndi Clark et al	GISAID	sars2
hCoV-19/USA/NM-NMDOH-2022086507/2022	EPI_ISL_13704269		TriCore Reference Laboratory Inc.	New Mexico Department of Health Scientific Laboratory	Ellie Larence et al	GISAID	sars2
hCoV-19/Palau/PW-H2214088/2022	EPI_ISL_14334371		Laboratory Services, Palau Ministry of Health	State Laboratories Division, Hawaii State Department of Health	Pamela O'Brien et al	GISAID	sars2
hCoV-19/Belize/CML-640/2022	EPI_ISL_14312841		Central Medical Laboratory	Central Medical Laboratory	Roberto Melendez et al	GISAID	sars2
hCoV-19/Scotland/LSPA-3E13DEE/2022	EPI_ISL_12772317	OW973563.1	Rosalind Franklin Laboratory	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Donald Fraser et al	GISAID	sars2
hCoV-19/PapuaNewGuinea/PNG8019/2022	EPI_ISL_16534189		Central Public Health Laboratory	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL), The Peter Doherty Institute for Infection and Immunity	Kumbu et al	GISAID	sars2
hCoV-19/Ukraine/71160/2022	EPI_ISL_14503430		Reference laboratory for diagnostics of HIV/AIDS, virological and especially dangerous pathogens	Reference laboratory for diagnostics of HIV/AIDS, virological and especially dangerous pathogens	Iryna Demchyshyna et al	GISAID	sars2
hCoV-19/Hungary/2799-UPL22-004835/2022	EPI_ISL_15104795		Institute of Laboratory Medicine, Semmelweis University	iBioscience Kft.	Gergő Túri et al	GISAID	sars2
hCoV-19/Barbados/153231/2022	EPI_ISL_14823853		Best-dos Santos Public Health Lab	CARPHA	Nikhella Winter on behalf of CARPHA et al	GISAID	sars2
hCoV-19/DominicanRepublic/1905316-LNSPDD/2022	EPI_ISL_14061660		Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló	Isaac Miguel Sánchez et al	GISAID	sars2
hCoV-19/Israel/CVL-8007743/2022	EPI_ISL_13111030		Public health laboratories Jerusalem	Israel Central Virology laboratory	Neta Zuckerman et al	GISAID	sars2
hCoV-19/Mexico/COL_InDRE_FB15169_E06117151029_S13728/2022	EPI_ISL_13703790		LESP Colima	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al	GISAID	sars2
hCoV-19/Guatemala/4784-LNS/2022	EPI_ISL_13490291		Laboratorio Nacional de Salud (LNS), Guatemala	Laboratorio Nacional de Salud (LNS), Guatemala	Mendoza L et al	GISAID	sars2
hCoV-19/Bolivia/CBBA-PUC_MVL_3358/2022	EPI_ISL_16765658		Laboratorio de Biología Molecular, IIBISMED Facultad de Medicina, Universidad Mayor de San Simón.	Laboratory of Molecular Virology, School of Medicine, Pontificia Universidad Catolica de Chile	Catalina Pardo-Roa et al	GISAID	sars2
hCoV-19/Jordan/Biolab0691/2022	EPI_ISL_13465500		Biolab Diagnostic Laboratories	Biolab Diagnostic Laboratories	Issa Abu-Dayyeh et al	GISAID	sars2
hCoV-19/Belize/CML-589/2022	EPI_ISL_14152539		Central Medical Laboratory	Central Medical Laboratory	Roberto Melendez et al	GISAID	sars2
hCoV-19/USA/AZ-CDC-LC0589318/2022	EPI_ISL_12505520	ON396245.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al	GISAID	sars2
hCoV-19/Guatemala/5186-LNS/2022	EPI_ISL_13490353		Laboratorio Nacional de Salud (LNS), Guatemala	Laboratorio Nacional de Salud (LNS), Guatemala	Mendoza L et al	GISAID	sars2
hCoV-19/Argentina/INEI120750/2022	EPI_ISL_13726529		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al	GISAID	sars2
hCoV-19/Mexico/GUA_IBT_IMSS_7566/2022	EPI_ISL_13405413		Centro de Investigación Biomédica de Occidente (CIBO)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/USA/ND-NDDH-17033/2022	EPI_ISL_13725719		required_for_submission	North Dakota Department of Health, Public Health Laboratory	Lisa Wingerter et al	GISAID	sars2
hCoV-19/ElSalvador/INC-LNSP-215/2022	EPI_ISL_13839634		Laboratorio Nacional de Salud Publica	Inciensa, Instituto de Investigación y Enseñanza en Nutrición y Salud	Ruth Vasquez et al	GISAID	sars2
hCoV-19/Japan/TKYkbm44903/2022	EPI_ISL_14857810		Tokyo Metropolitan Institute of Public Health	Tokyo Metropolitan Institute of Public Health	Akane Negishi et al	GISAID	sars2
hCoV-19/PuertoRico/PR-CVL-005221/2022	EPI_ISL_14004278		Laboratorio Clinico Toledo	PRCVSI	Lorraine D Rodriguez-Rivera et al	GISAID	sars2
hCoV-19/USA/IN-CDC-STM-PUJXDBNTV/2022	EPI_ISL_12638953	ON481666.1	Helix	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al	GISAID	sars2
hCoV-19/Seychelles/SS10596/2022	EPI_ISL_15585809		Seychelles Public Health Laboratory	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al	GISAID	sars2
hCoV-19/Croatia/34010/2022	EPI_ISL_11807726		"Nastavni zavod za javno zdravstvo ""Andrija Štampar"""	Hrvatski zavod za javno zdravstvo	Irena Tabain et al	GISAID	sars2
hCoV-19/NewZealand/22MV2642/2022	EPI_ISL_13438086		Whangarei Hospital	Institute of Environmental Science and Research (ESR)	Sarah Cockerton et al	GISAID	sars2
hCoV-19/Brazil/RS-FIOCRUZ-14233/2022	EPI_ISL_13565073		Laboratorio Central de Saude Publica do Estado do Rio Grande do Sul (LACEN/RS)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al	GISAID	sars2
hCoV-19/Kuwait/Jaber2220148336/2022	EPI_ISL_13477534		Jaber Al Ahmad Hospital	Virology Lab, Jaber Al Ahmad Hospital	Dr. Zahrah Buhamad et al	GISAID	sars2
hCoV-19/Italy/SIC-CQRC-3422034457/2022	EPI_ISL_13614837		Laboratorio CQRC	CQRC QUALITY CONTROL CHEMICAL BIOLOGICAL RISK AOOR Villa Sofia Cervello Palermo	Di Gaudio F. et al	GISAID	sars2
hCoV-19/NewZealand/22CV1545/2022	EPI_ISL_10187404		Whangarei Hospital	Institute of Environmental Science and Research (ESR)	Sarah Cockerton et al	GISAID	sars2
hCoV-19/NewZealand/22CV1551/2022	EPI_ISL_10188301		Whangarei Hospital	Institute of Environmental Science and Research (ESR)	Sarah Cockerton et al	GISAID	sars2
hCoV-19/NewZealand/22MV2496/2022	EPI_ISL_12805467		LabTests	Institute of Environmental Science and Research (ESR)	Sarah Cockerton et al	GISAID	sars2
hCoV-19/NewZealand/22MV1445/2022	EPI_ISL_11866116		PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Sarah Cockerton et al	GISAID	sars2
hCoV-19/NewZealand/22CV1784/2022	EPI_ISL_10188698		Wellington SCL (WN)	Institute of Environmental Science and Research (ESR)	Sarah Cockerton et al	GISAID	sars2
hCoV-19/NewZealand/22CV7473/2022	EPI_ISL_13764394		PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR), Kenepuru Science Centre	Sarah Cockerton et al	GISAID	sars2
hCoV-19/NewZealand/22CH6040/2022	EPI_ISL_13764004		Southern Community Labs Dunedin	Institute of Environmental Science and Research (ESR), Kenepuru Science Centre	Sarah Cockerton et al	GISAID	sars2
hCoV-19/NewZealand/22CV4233/2022	EPI_ISL_12805524		PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Sarah Cockerton et al	GISAID	sars2
hCoV-19/NewZealand/22MV1381/2022	EPI_ISL_11865950		PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Sarah Cockerton et al	GISAID	sars2
hCoV-19/NewZealand/22CV7014/2022	EPI_ISL_13764831		Wellington SCL (WN)	Institute of Environmental Science and Research (ESR)	Sarah Cockerton et al	GISAID	sars2
hCoV-19/NewZealand/22CV6462/2022	EPI_ISL_13764380		Hawkes Bay DHB	Institute of Environmental Science and Research (ESR), Kenepuru Science Centre	Sarah Cockerton et al	GISAID	sars2
hCoV-19/Djibouti/NAMRU3_F796/2022	EPI_ISL_15091105	OP508873.1	Naval Medical Research Unit No. 3	Naval Medical Research Center Biological Defense Research Directorate	J. Alexander Chitty et al	GISAID	sars2
hCoV-19/Bahrain/R55902387003_S62_L001/2022	EPI_ISL_15253029	ON627580.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	Marhoon et al	GISAID	sars2
hCoV-19/Jordan/JUST-MBV-21/2022	EPI_ISL_12977286		Molecular Biology and Virology	Molecular Biology and Virology	Mohammad Alboom et al	GISAID	sars2
hCoV-19/Jordan/JUST-MBV-99/2022	EPI_ISL_12977296		Molecular Biology and Virology	Molecular Biology and Virology	Mohammad Alboom et al	GISAID	sars2
